%
% GALE automatic stratified fold generation for CV
%
% Generated at        : Wed Feb 21 23:46:15 CET 2001
% Random seed         : 69
% File name           : GALE.horse-colic.cv.seed.69.fold.000002.train.arff
% Number of instances : 331
%

@RELATION horse-colic

@ATTRIBUTE	'surgery'	{yes,no}
@ATTRIBUTE	'Age'	{adult,young}
@ATTRIBUTE	'rectal_temperature'	REAL
@ATTRIBUTE	'pulse'	REAL
@ATTRIBUTE	'respiratory_rate'	REAL
@ATTRIBUTE	'temp_extremities'	{normal,warm,cool,cold}
@ATTRIBUTE	'peripheral_pulse'	{normal,increased,reduced,absent}
@ATTRIBUTE	'mucous_membranes'	{'normal_pink','bright_pink','pale_pink','pale_cyanotic','bright_red','dark_cyanotic'}
@ATTRIBUTE	'capillary_refill_time'	{'<3','>=3','meaning_unknown'}
@ATTRIBUTE	'pain'	{'alert_no_pain',depressed,'intermittent_mild_pain','intermittent_severe_pain','continuous_severe_pain'}
@ATTRIBUTE	'peristalsis'	{hypermotile,normal,hypomotile,absent}
@ATTRIBUTE	'abdominal_distension'	{none,slight,moderate,severe}
@ATTRIBUTE	'nasogastric_tube'	{none,slight,significant}
@ATTRIBUTE	'nasogastric_reflux'	{none,'>1l','<1l'}
@ATTRIBUTE	'nasogastric_reflux_PH'	REAL
@ATTRIBUTE	'rectal_examination'	{normal,increased,decreased,absent}
@ATTRIBUTE	'abdomen'	{normal,other,'firm_feces_in_large_intestine','distended_small_intestine','distended_large_intestine'}
@ATTRIBUTE	'packed_cell_volume'	REAL
@ATTRIBUTE	'total_protein'	REAL
@ATTRIBUTE	'abdominocentesis_appearance'	{clear,cloudy,serosanguinous}
@ATTRIBUTE	'abdomcentesis_total_protein'	REAL
@ATTRIBUTE	'outcome'	{lived,died,euthanized}
@ATTRIBUTE	'surgical_lesion'	{yes,no}

@DATA
no,young,38.3,90.0,?,normal,?,'normal_pink','<3','continuous_severe_pain',hypomotile,none,slight,none,?,decreased,?,40.0,6.2,clear,2.2,lived,no
no,adult,38.0,44.0,12.0,cool,normal,'normal_pink',?,?,hypermotile,slight,?,?,?,normal,?,42.0,64.0,?,?,lived,no
yes,adult,38.0,76.0,18.0,?,?,?,'>=3',?,?,?,?,?,?,?,?,71.0,11.0,?,?,lived,yes
yes,adult,38.2,72.0,18.0,?,?,?,?,?,?,?,?,?,?,?,?,35.0,6.4,?,?,lived,yes
yes,adult,38.2,76.0,?,warm,reduced,'bright_pink','<3','continuous_severe_pain',hypomotile,moderate,none,'>1l',6.0,normal,'distended_large_intestine',35.0,6.5,cloudy,0.9,lived,yes
yes,adult,37.3,48.0,12.0,normal,?,'pale_pink','<3','intermittent_mild_pain',hypermotile,moderate,slight,none,?,decreased,'firm_feces_in_large_intestine',40.0,6.6,cloudy,?,lived,yes
yes,adult,?,78.0,24.0,cool,reduced,'pale_pink','<3',?,hypomotile,?,slight,none,?,?,'distended_small_intestine',43.0,62.0,?,2.0,euthanized,no
yes,adult,39.4,54.0,66.0,normal,normal,'bright_pink','<3',depressed,hypomotile,slight,none,none,?,decreased,'distended_small_intestine',39.0,6.0,cloudy,?,lived,yes
yes,adult,36.4,98.0,35.0,cool,reduced,'pale_cyanotic','<3','intermittent_severe_pain',hypomotile,slight,?,?,?,absent,'distended_small_intestine',47.0,6.4,serosanguinous,3.6,died,yes
yes,adult,37.8,48.0,12.0,cool,normal,'normal_pink','<3',?,hypomotile,slight,none,none,?,normal,'firm_feces_in_large_intestine',37.0,5.5,cloudy,1.3,lived,no
no,adult,37.6,88.0,36.0,cool,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,slight,none,'<1l',1.5,?,?,44.0,6.0,?,?,died,yes
