%
% GALE automatic stratified fold generation for CV
%
% Generated at        : Wed Aug 29 17:01:13 CEST 2007
% Random seed         : 69
% File name           : GALE.kr-vs-kp.cv.seed.69.fold.000008.train.arff
% Number of instances : 2878
%

@RELATION kr-vs-kp

@ATTRIBUTE	'bkblk'	{'t','f'}
@ATTRIBUTE	'bknwy'	{'t','f'}
@ATTRIBUTE	'bkon8'	{'t','f'}
@ATTRIBUTE	'bkona'	{'t','f'}
@ATTRIBUTE	'bkspr'	{'t','f'}
@ATTRIBUTE	'bkxbq'	{'t','f'}
@ATTRIBUTE	'bkxcr'	{'t','f'}
@ATTRIBUTE	'bkxwp'	{'t','f'}
@ATTRIBUTE	'blxwp'	{'t','f'}
@ATTRIBUTE	'bxqsq'	{'t','f'}
@ATTRIBUTE	'cntxt'	{'t','f'}
@ATTRIBUTE	'dsopp'	{'t','f'}
@ATTRIBUTE	'dwipd'	{'g','l'}
@ATTRIBUTE	'hdchk'	{'t','f'}
@ATTRIBUTE	'katri'	{'b','n','w'}
@ATTRIBUTE	'mulch'	{'t','f'}
@ATTRIBUTE	'qxmsq'	{'t','f'}
@ATTRIBUTE	'r2ar8'	{'t','f'}
@ATTRIBUTE	'reskd'	{'t','f'}
@ATTRIBUTE	'reskr'	{'t','f'}
@ATTRIBUTE	'rimmx'	{'t','f'}
@ATTRIBUTE	'rkxwp'	{'t','f'}
@ATTRIBUTE	'rxmsq'	{'t','f'}
@ATTRIBUTE	'simpl'	{'t','f'}
@ATTRIBUTE	'skach'	{'t','f'}
@ATTRIBUTE	'skewr'	{'t','f'}
@ATTRIBUTE	'skrxp'	{'t','f'}
@ATTRIBUTE	'spcop'	{'t','f'}
@ATTRIBUTE	'stlmt'	{'t','f'}
@ATTRIBUTE	'thrsk'	{'t','f'}
@ATTRIBUTE	'wkcti'	{'t','f'}
@ATTRIBUTE	'wkna8'	{'t','f'}
@ATTRIBUTE	'wknck'	{'t','f'}
@ATTRIBUTE	'wkovl'	{'t','f'}
@ATTRIBUTE	'wkpos'	{'t','f'}
@ATTRIBUTE	'wtoeg'	{'n','t','f'}
@ATTRIBUTE	'class'	{'won','nowin'}

@DATA
'f','f','f','f','f','t','t','t','t','t','t','f','g','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','t','t','f','n','nowin'
'f','f','f','f','f','f','f','f','f','t','f','f','l','f','n','f','f','t','f','f','f','f','f','t','f','t','f','f','f','f','f','f','f','f','t','n','nowin'
'f','f','f','f','f','f','f','f','f','t','f','f','l','f','n','f','t','t','f','f','f','f','f','f','f','f','f','f','f','f','f','f','f','t','t','t','nowin'
'f','f','f','f','f','f','f','f','f','f','f','t','l','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','t','t','n','won'
'f','f','f','f','f','f','f','f','f','f','f','f','g','f','n','f','f','t','f','f','t','f','f','t','f','t','f','f','f','f','f','f','t','t','t','n','won'
'f','t','f','f','t','f','f','f','t','f','f','f','l','f','w','f','f','f','f','t','t','t','f','t','f','t','f','f','f','f','t','t','f','f','f','n','won'
'f','f','f','f','t','t','t','f','t','f','f','f','l','f','n','f','f','t','f','f','f','t','f','f','f','f','f','f','f','f','f','f','f','f','t','n','won'
'f','f','f','f','f','f','f','f','f','t','t','f','l','f','b','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','t','t','n','nowin'
'f','f','f','f','t','t','f','f','f','f','f','f','l','f','n','f','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','f','f','f','t','n','won'
'f','f','f','f','t','t','t','f','f','f','t','f','l','f','n','t','f','f','f','f','f','f','f','t','f','t','f','f','f','f','f','f','t','f','f','n','nowin'
'f','f','f','f','f','f','f','f','t','f','t','f','l','f','n','f','f','t','f','f','f','t','f','f','f','t','f','f','f','f','f','f','f','t','t','n','won'
'f','t','f','t','f','t','f','f','f','t','t','f','l','f','n','t','f','t','f','f','f','f','f','t','f','t','f','f','f','f','f','f','f','t','t','n','nowin'
'f','t','f','f','f','f','f','f','f','f','f','f','l','f','n','f','f','f','f','f','f','f','f','t','f','t','f','f','f','f','t','t','f','f','f','n','nowin'
'f','f','f','f','t','f','f','f','t','f','f','f','g','f','n','f','f','t','f','f','f','t','f','t','f','t','f','f','f','f','f','f','f','t','t','n','won'
'f','f','f','t','t','f','f','f','f','t','t','f','l','f','n','f','f','f','f','t','t','f','f','f','f','t','f','f','f','f','f','f','f','t','t','n','won'
'f','t','f','f','f','t','f','f','f','t','f','f','l','f','n','t','f','t','f','f','f','f','f','t','f','f','f','f','f','f','f','f','f','t','t','t','nowin'
'f','f','f','f','f','t','f','f','f','t','f','f','g','f','n','f','t','t','f','f','f','f','t','f','f','t','f','f','f','f','f','f','t','t','t','n','nowin'
'f','f','f','f','f','t','t','f','f','f','t','f','l','f','n','f','f','f','f','f','f','f','f','t','f','t','f','f','f','f','f','f','t','f','f','n','nowin'
'f','f','f','f','t','t','t','t','t','f','f','f','l','f','n','f','f','f','f','f','f','f','f','f','f','t','f','f','f','f','f','f','t','f','t','t','nowin'
'f','f','f','f','t','t','t','f','f','f','t','f','l','f','n','t','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','t','f','f','n','nowin'
'f','f','f','f','f','t','t','f','f','f','f','f','l','f','n','f','f','t','f','f','f','f','f','f','f','f','f','f','f','f','f','f','t','f','t','n','nowin'
't','f','f','t','t','t','t','t','t','f','t','f','l','f','n','f','f','f','f','f','f','f','f','t','f','t','f','f','f','f','f','f','t','f','f','n','nowin'
'f','f','f','f','f','t','f','f','f','t','f','f','g','f','n','f','f','t','f','f','t','f','f','t','f','t','f','f','f','f','f','f','f','t','t','n','won'
'f','f','f','f','f','t','t','t','t','t','t','f','l','f','w','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','t','t','f','n','nowin'
'f','f','f','f','f','f','f','f','f','f','f','f','g','f','n','f','f','t','f','f','f','f','t','t','f','t','f','f','f','f','f','f','f','t','t','n','nowin'
'f','f','f','f','t','t','t','f','f','f','t','f','l','f','n','f','f','f','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','f','t','n','won'
'f','f','f','f','f','t','f','f','f','t','f','f','l','f','n','f','f','f','f','f','t','f','f','f','f','f','f','f','f','f','f','f','f','t','t','t','won'
't','f','f','f','t','t','t','t','t','f','t','f','l','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','t','t','f','n','nowin'
't','f','f','f','t','t','t','t','t','f','t','f','g','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','f','f','n','won'
'f','f','f','f','f','t','f','f','f','t','t','f','l','f','b','f','f','t','f','f','f','f','f','t','f','t','f','f','f','f','f','f','f','t','t','n','nowin'
'f','t','f','f','f','f','f','f','f','t','f','t','l','f','n','f','f','f','f','f','f','f','f','t','f','t','f','f','f','f','f','f','t','f','t','n','nowin'
'f','f','f','f','f','t','f','f','f','t','f','f','l','f','n','f','f','t','f','f','t','f','f','t','f','f','f','f','f','f','f','f','f','t','t','t','won'
'f','t','f','f','f','f','f','f','f','f','t','f','l','f','w','f','f','f','f','t','f','f','f','f','f','t','f','f','f','f','t','f','f','f','f','n','won'
